student_id,full_name,class_name,photo_url
STU00001,Theodore Peterson,Delta,https://i.pravatar.cc/150?img=35
STU00002,Scott Allen,Delta,https://i.pravatar.cc/150?img=15
STU00003,Daniel Velazquez,Delta,https://i.pravatar.cc/150?img=54
STU00004,Allen King,Delta,https://i.pravatar.cc/150?img=6
STU00005,Christian Arnold,Alpha,https://i.pravatar.cc/150?img=27
STU00006,Kenneth Brooks,Beta,https://i.pravatar.cc/150?img=64
STU00007,Stephen Henderson,Alpha,https://i.pravatar.cc/150?img=51
STU00008,William Harris,Delta,https://i.pravatar.cc/150?img=15
STU00009,Crystal Harris,Delta,https://i.pravatar.cc/150?img=47
STU00010,Jennifer Rogers,Alpha,https://i.pravatar.cc/150?img=23
STU00011,Samantha Ramirez,Gamma,https://i.pravatar.cc/150?img=34
STU00012,Carlos Daugherty,Delta,https://i.pravatar.cc/150?img=29
STU00013,Jacob Williams,Beta,https://i.pravatar.cc/150?img=68
STU00014,Ann Guzman,Delta,https://i.pravatar.cc/150?img=24
STU00015,Timothy Brown,Alpha,https://i.pravatar.cc/150?img=17
STU00016,Maria Boyd,Gamma,https://i.pravatar.cc/150?img=54
STU00017,Kimberly West,Delta,https://i.pravatar.cc/150?img=40
STU00018,Deborah Kelley,Beta,https://i.pravatar.cc/150?img=22
STU00019,Diana Gross,Beta,https://i.pravatar.cc/150?img=25
STU00020,John Rodriguez,Gamma,https://i.pravatar.cc/150?img=65
